file,keyphrase_coverage_score,compression_score
lec1,0.0000,113.4000
lec10,0.0000,116.6000
lec11,0.0000,164.6000
lec12,0.0000,273.2000
lec13,0.0000,188.2000
lec14,0.0000,164.6000
lec15,0.0000,173.6000
lec16,0.0000,133.2000
lec17,0.0000,110.0000
lec18,0.0000,128.4000
lec19,0.0000,156.6000
lec2,0.0000,162.6000
lec20,0.0000,166.6000
lec21,0.0000,155.6000
lec22,0.0000,85.1000
lec3,0.0000,120.2000
lec4,0.0000,133.2000
lec5,0.0000,115.8000
lec6,0.0000,112.4000
lec7,0.0000,119.2000
lec8,0.0000,131.2000
lec9,0.0000,118.2000
